Date	DoW.M=1	NetSpend
1-Apr-14	2	-25.66
2-Apr-14	3	-5.17
3-Apr-14	4	-39.99
4-Apr-14	5	-69.56
5-Apr-14	6	-75.43
6-Apr-14	7	-46.33
7-Apr-14	1	-62.99
8-Apr-14	2	-51.63
9-Apr-14	3	-68.37
10-Apr-14	4	-25.40
11-Apr-14	5	-108.78
12-Apr-14	6	-96.42
13-Apr-14	7	-72.46
14-Apr-14	1	-15.17
15-Apr-14	2	-8.85
16-Apr-14	3	-26.91
17-Apr-14	4	-21.08
18-Apr-14	5	-179.00
19-Apr-14	6	-115.00
20-Apr-14	7	-141.33
21-Apr-14	1	-40.12
22-Apr-14	2	-31.15
23-Apr-14	3	-38.58
24-Apr-14	4	-13.23
25-Apr-14	5	-111.65
26-Apr-14	6	-110.46
27-Apr-14	7	-109.72
28-Apr-14	1	-77.16
29-Apr-14	2	-23.01
30-Apr-14	3	-10.66
1-May-14	4	-77.39
2-May-14	5	-26.88
3-May-14	6	-153.02
4-May-14	7	-45.72
5-May-14	1	-31.15
6-May-14	2	-5.17
7-May-14	3	-87.73
8-May-14	4	-67.11
9-May-14	5	-47.76
10-May-14	6	-141.54
11-May-14	7	-174.99
12-May-14	1	-29.54
13-May-14	2	-43.17
14-May-14	3	-25.98
15-May-14	4	-157.71
16-May-14	5	-99.30
17-May-14	6	-70.45
18-May-14	7	-107.43
19-May-14	1	-90.53
20-May-14	2	-61.06
21-May-14	3	-38.92
22-May-14	4	-10.00
23-May-14	5	-157.70
24-May-14	6	-258.49
25-May-14	7	-60.57
26-May-14	1	-87.56
27-May-14	2	-73.97
28-May-14	3	-12.99
29-May-14	4	-62.73
30-May-14	5	-110.24
31-May-14	6	0
1-Jun-14	7	-77.80
2-Jun-14	1	-50.56
3-Jun-14	2	0
4-Jun-14	3	0
5-Jun-14	4	0
6-Jun-14	5	0
7-Jun-14	6	-12.99
8-Jun-14	7	-52.01
9-Jun-14	1	-329.90
10-Jun-14	2	-4.75
11-Jun-14	3	-55.67
12-Jun-14	4	-221.75
13-Jun-14	5	-43.68
