Date	DoW M=1	Local Time	Country	State	City	Zip Code	Method of Payment	Vendor	Purchaser	Good or Service	Note/Comments	Exp'd?	Reimb?	Recur?	Traveling?	In Pers?	Debit	Credit
43290	1	0.458333333	N/A	N/A	Online	N/A	Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-198.21	198.21
43290	1	0.447916667	N/A	N/A	Online	N/A	Bank of America Checking	Bank of America MasterCard	NPH	Credit Card Payment	Regular CC Payment	No	No	No		No	-12.99	12.99
43290	1	0.447916667	N/A	N/A	Online	N/A	Barclay MasterCard	ATT	Joint	Phone	Monthly Phone Bill	No	No	Yes		No	-22.84	
43290	1	0.427083333	Switzerland	Basel Land	Binningen	4102	Barclay MasterCard	Migros	Joint	Groceries	Groceries	No	No	No		Yes	-55.07	
43290	1	0.395833333	Switzerland	Basel Stadt	Basel	4051	Barclay MasterCard	Läckerli Huus	Joint	Gift	Chocolates for Kirsten & Julia	No	No	No		Yes	-26.73	
43289	7	0.5	N/A	N/A	Nowhere	N/A	None	None	Joint	No Transactions	No Transactions Today	No	No	No		No	0	
43288	6	0.895833333	Switzerland	Zürich	Zürich	8048	Barclay MasterCard	La Taqueria	Joint	Meal Out	Dinner out w/ Will & Nadia	No	No	No		Yes	-199.91	
43288	6	0.333333333	N/A	N/A	Online	N/A	Bank of America MasterCard	Privacy Assist	NPH	Credit Monitoring	Monthly Credit Monitoring	No	No	Yes		No	-12.99	
43287	5	0.729166667	The Netherlands	North Holland	AMS	1118	Barclay MasterCard	Schiphol Airport	CGPR	Snack	Preflight Snack	No	No	No		Yes	-15.06	
43287	5	0.729166667	The Netherlands	North Holland	AMS	1118	Barclay MasterCard	World of Delights	CGPR	Groceries	Cookies for Nadia & Will's	No	No	No		Yes	-4.21	
43287	5	0.697916667	The Netherlands	North Holland	Amsterdam	1012	Barclay MasterCard	Nederlandse Spoorwegen	Joint	Trainfare	Train to Airport	No	No	No		Yes	-12.47	
43287	5	0.541666667	The Netherlands	North Holland	Amsterdam	1054	Barclay MasterCard	Birkenstock	CGPR	Clothing	Shoes	No	No	No		Yes	-74.07	
43287	5	0.458333333	The Netherlands	North Holland	Amsterdam	1071	Barclay MasterCard	Van Gogh Museum	Joint	Ticket(s)	Museum Entry	No	No	No		Yes	-42.36	
43287	5	0.291666667	N/A	N/A	Online	N/A	Cartus	Bank of America Checking	Joint	Reimbursement	Reimburse Travel Expenses	No	Yes	No		No	0	175.37
43286	4	0.916666667	The Netherlands	North Holland	Amsterdam	1012	Barclay MasterCard	The Lobby Nesplein	Joint	Meal Out	Dinner Date	No	No	No		Yes	-129.43	
43286	4	0.729166667	The Netherlands	North Holland	AMS	1118	Barclay MasterCard	Nederlandse Spoorwegen	Joint	Trainfare	Train from Airport	No	No	No		Yes	-12.42	
