Dates	Day of the Week, M=1	Weekday	Count	Net Changes
41730	2	TRUE	2	-25.66
41731	3	TRUE	1	-5.17
41732	4	TRUE	4	-39.99
41733	5	TRUE	3	-69.56
41734	6	FALSE	6	-75.43
41735	7	FALSE	5	-46.33
41736	1	TRUE	6	-62.99
41737	2	TRUE	3	-51.63
41738	3	TRUE	6	-68.37
41739	4	TRUE	3	-25.4
41740	5	TRUE	7	-108.781
41741	6	FALSE	9	-96.42
41742	7	FALSE	3	-72.46
41743	1	TRUE	2	-15.17
41744	2	TRUE	1	-8.85
41745	3	TRUE	2	-26.91
41746	4	TRUE	2	-21.08
41747	5	TRUE	6	-179
41748	6	FALSE	2	-115
41749	7	FALSE	5	-141.33
41750	1	TRUE	2	-40.12
41751	2	TRUE	4	-31.15
41752	3	TRUE	4	-38.58
41753	4	TRUE	2	-13.23
41754	5	TRUE	4	-111.65
41755	6	FALSE	3	-110.46
41756	7	FALSE	5	-109.72
41757	1	TRUE	4	-77.16
41758	2	TRUE	4	-23.01
41759	3	TRUE	2	-10.66
41760	4	TRUE	4	-77.39
41761	5	TRUE	3	-26.88
41762	6	FALSE	8	-153.02
41763	7	FALSE	3	-45.72
41764	1	TRUE	3	-31.15
41765	2	TRUE	1	-5.17
41766	3	TRUE	5	-87.73
41767	4	TRUE	4	-67.11
41768	5	TRUE	4	-47.76
41769	6	FALSE	6	-141.54
41770	7	FALSE	6	-174.99
41771	1	TRUE	2	-29.54
41772	2	TRUE	2	-43.17
41773	3	TRUE	5	-25.98
41774	4	TRUE	8	-157.71
41775	5	TRUE	5	-99.3
41776	6	FALSE	4	-70.45
41777	7	FALSE	3	-107.43
41778	1	TRUE	3	-90.53
41779	2	TRUE	3	-61.06
41780	3	TRUE	5	-38.92
41781	4	TRUE	2	-10
41782	5	TRUE	6	-157.7
41783	6	FALSE	8	-258.49
41784	7	FALSE	3	-60.57
41785	1	TRUE	4	-87.56
41786	2	TRUE	7	-73.97
41787	3	TRUE	1	-12.99
41788	4	TRUE	6	-62.73
41789	5	TRUE	4	-110.24
41790	6	FALSE	1	0
41791	7	FALSE	1	-77.8
41792	1	TRUE	1	-50.56
41793	2	TRUE	1	0
41794	3	TRUE	1	0
41795	4	TRUE	1	0
41796	5	TRUE	1	0
41797	6	FALSE	1	-12.99
41798	7	FALSE	5	-52.01
41799	1	TRUE	6	-329.9
41800	2	TRUE	1	-4.75
41801	3	TRUE	4	-55.67
41802	4	TRUE	5	-221.75
41803	5	TRUE	5	-43.68
41804	6	FALSE	6	-264.93
41805	7	FALSE	5	-152.89
41806	1	TRUE	5	-337.6
41807	2	TRUE	3	-21.2
41808	3	TRUE	1	-6.47
41809	4	TRUE	2	-95.95
41810	5	TRUE	6	-149.59
41811	6	FALSE	3	-57.05
41812	7	FALSE	6	-106.64
41813	1	TRUE	1	-5.17
41814	2	TRUE	4	-77.58
41815	3	TRUE	3	-14.95
41816	4	TRUE	3	-78.46
41817	5	TRUE	2	-127
41818	6	FALSE	8	-133.62
41819	7	FALSE	5	-54.94
41820	1	TRUE	2	-13.92
41821	2	TRUE	2	-42.66
41822	3	TRUE	3	-25.32
41823	4	TRUE	8	-174.13
41824	5	TRUE	7	-298.03
41825	6	FALSE	3	-53.61
41826	7	FALSE	7	-134.02
41827	1	TRUE	2	-73.88
41828	2	TRUE	4	-43.98
41829	3	TRUE	2	-8.82
41830	4	TRUE	4	-93.44
41831	5	TRUE	3	-100.68
41832	6	FALSE	6	-193.69
41833	7	FALSE	6	-131.31
41834	1	TRUE	5	-80.61
41835	2	TRUE	1	0
41836	3	TRUE	3	-18.33
41837	4	TRUE	3	-96.99
41838	5	TRUE	5	-89.11
41839	6	FALSE	8	-196.68
41840	7	FALSE	5	-191.9
41841	1	TRUE	4	7.44
41842	2	TRUE	4	-287.21
41843	3	TRUE	5	-178.32
41844	4	TRUE	3	-40.37
41845	5	TRUE	5	-68.25
41846	6	FALSE	7	-174.55
41847	7	FALSE	5	-35.99
41848	1	TRUE	2	-51.99
41849	2	TRUE	2	-9.66
41850	3	TRUE	4	-29.46
41851	4	TRUE	4	-65.98
41852	5	TRUE	4	-78.82
41853	6	FALSE	7	-235.88
41854	7	FALSE	9	-252.28
41855	1	TRUE	3	-21.4
41856	2	TRUE	5	277.47
41857	3	TRUE	4	-68.83
41858	4	TRUE	3	-30.09
41859	5	TRUE	3	-47.49
41860	6	FALSE	3	-131.28
41861	7	FALSE	1	-32.85
41862	1	TRUE	1	-5.17
41863	2	TRUE	5	-33.42
41864	3	TRUE	2	-18.47
41865	4	TRUE	2	-51.66
41866	5	TRUE	7	-102.5
41867	6	FALSE	5	-78.79
41868	7	FALSE	5	-68.29
41869	1	TRUE	5	-87.4
41870	2	TRUE	6	-57.2
41871	3	TRUE	5	-102.52
41872	4	TRUE	4	-36.7
41873	5	TRUE	3	-36.14
41874	6	FALSE	3	-38.75
41875	7	FALSE	10	-162.59
41876	1	TRUE	7	-246.01
41877	2	TRUE	6	-57.87
41878	3	TRUE	5	-48.71
41879	4	TRUE	6	-82.52
41880	5	TRUE	2	-52.28
41881	6	FALSE	3	-173.37
41882	7	FALSE	4	-106.37
41883	1	TRUE	5	-126.55
41884	2	TRUE	4	-59.09
41885	3	TRUE	3	-64.5
41886	4	TRUE	4	-57.97
41887	5	TRUE	10	-179.33
41888	6	FALSE	3	-107.95
41889	7	FALSE	3	-49.33
41890	1	TRUE	6	-104.91
41891	2	TRUE	2	-35.67
41892	3	TRUE	6	-108.71
41893	4	TRUE	3	-22.12
41894	5	TRUE	1	0
41895	6	FALSE	5	-117.02
41896	7	FALSE	3	-48.28
41897	1	TRUE	2	-26.54
41898	2	TRUE	2	-20.47
41899	3	TRUE	1	-2.49
41900	4	TRUE	1	-5.17
41901	5	TRUE	2	-51.8
41902	6	FALSE	2	-49.99
41903	7	FALSE	1	0
41904	1	TRUE	3	-65.34
41905	2	TRUE	2	-46.25
41906	3	TRUE	3	-26.69
41907	4	TRUE	6	-72.94
41908	5	TRUE	3	-28.76
41909	6	FALSE	2	-53
41910	7	FALSE	4	-132.37
41911	1	TRUE	4	-30.22
41912	2	TRUE	4	-86.85
41913	3	TRUE	3	-23.44
41914	4	TRUE	1	-5.17
41915	5	TRUE	4	-119.92
41916	6	FALSE	3	-56.53
41917	7	FALSE	2	-14.55
41918	1	TRUE	6	-166.32
41919	2	TRUE	6	-66.08
41920	3	TRUE	6	-404.66
41921	4	TRUE	4	-274.34
41922	5	TRUE	7	-52.03
41923	6	FALSE	7	-312.97
41924	7	FALSE	5	-135.2
41925	1	TRUE	3	-47.41
41926	2	TRUE	4	-46.97
41927	3	TRUE	6	-266.8
41928	4	TRUE	3	-20.35
41929	5	TRUE	6	-128.18
41930	6	FALSE	3	-92.23
41931	7	FALSE	8	-203.88
41932	1	TRUE	2	-60
41933	2	TRUE	2	-27.41
41934	3	TRUE	1	-6.8
41935	4	TRUE	2	-35.25
41936	5	TRUE	3	-75.73
41937	6	FALSE	3	-53.08
41938	7	FALSE	4	-308.06
41939	1	TRUE	2	-38.03
