Date	DoW M=1	Debit	Credit
43293	4	-6.24	
43293	4	-50.88	
43293	4	0	3509.6
43292	3	-21.2	
43292	3	-11.19	
43291	2	-23.66	
43291	2	-4.77	
43291	2	-80.75	
43291	2	-80.75	
43291	2	-10	
43290	1	-99.4	
43290	1	-77.98	
43290	1	-198.21	198.21
43290	1	-12.99	12.99
43290	1	-22.84	
43290	1	-55.38	
43290	1	-26.88	
43289	7	0	
43288	6	-201.03	
43288	6	-12.99	
43287	5	-15.06	
43287	5	-4.21	
43287	5	-12.47	
43287	5	-74.07	
43287	5	-42.36	
43287	5	0	175.37
43286	4	-129.43	
43286	4	-12.42	
43285	3	-379.24	
43285	3	0	
43284	2	-12.02	
43283	1	-7.67	
43283	1	-175.37	
43283	1	-5.49	
43282	7	-240.22	
43282	7	-2.99	
43281	6	-106.04	
43280	5	-167.51	
43280	5	0	200
43280	5	-358.07	358.07
43280	5	-12.99	12.99
43280	5	-12.99	
43279	4	0	
43279	4	0	3509.6
43278	3	-42.25	
43277	2	37.06	
43277	2	-51.75	
43276	1	0	
43275	7	0	
43274	6	-7.94	
43274	6	-3.5	
43274	6	-116.76	100
43274	6	-42.03	
43274	6	-7.94	
43274	6	-16.18	
43274	6	-10.44	
43273	5	-20.74	
43273	5	-86.39	
43273	5	-3257.35	3257.35
43272	4	-35.35	
43271	3	-145	
43271	3	0	
43271	3	0	20.97
43270	2	-59	
43270	2	-15.98	
43269	1	0	
43268	7	18.1	
43267	6	-16.09	
43267	6	-30.06	
43267	6	-14.07	
43266	5	-1011.02	1000
43266	5	0	
43265	4	0	
43265	4	0	175.37
43265	4	0	3509.6
43264	3	-51.18	
43263	2	-4.21	
43263	2	-107.11	
43262	1	-22.88	22.88
43262	1	0	
43262	1	-42.1	
43262	1	-12.99	12.99
43261	7	-132.65	
43261	7	-9.33	
43261	7	-7.05	
43261	7	-1.86	
43261	7	-11.05	
43261	7	-10.72	
43261	7	-4.72	
43261	7	-34.77	
43260	6	-12.03	
43260	6	-88.15	
43260	6	-11.17	
43260	6	-26.07	
43260	6	-10.55	
43260	6	-24.83	
43260	6	-18.5	
43260	6	-35.39	
43260	6	-22.88	
43260	6	-12.17	
43260	6	-28.68	
43259	5	-44.32	
43259	5	-39.11	
43259	5	-117.95	
43259	5	-10.93	
43259	5	-12.16	
43259	5	0	9.64
43259	5	-17.71	
43259	5	-82.66	
43259	5	-28.34	
43259	5	-10.63	
43259	5	-11.69	
43259	5	-28.34	
43259	5	-35.42	
43259	5	-190.45	190.45
43259	5	-55.97	
43258	4	-213.11	
43258	4	-62.35	
43258	4	-10.84	
43258	4	-207.19	
43258	4	-17.4	
43258	4	-24.86	
43258	4	-50.32	
43258	4	-12.99	
43257	3	-14.54	
43257	3	-11.68	
43257	3	-24.74	
43257	3	-17.76	
43257	3	-5.74	
43257	3	-21.71	
43257	3	-12.48	
43257	3	-38.14	
43257	3	-56.86	
43256	2	-13.33	
43256	2	-10.83	
43256	2	-30.69	
43256	2	-241.24	
43256	2	-34.24	
43256	2	-27.48	
43256	2	-68.7	
43256	2	-20.61	
43256	2	-29.77	
43256	2	-71.19	
43255	1	-137.34	
43255	1	-38	
43255	1	-21.13	
43254	7	-7.03	
43254	7	-234.38	200
43254	7	-12.09	
43253	6	-38.66	
43253	6	-13.71	
43253	6	-99.57	
43253	6	-128.8	
43253	6	-175.37	
43253	6	-2.99	
43252	5	-16.26	
43252	5	-89	89
43252	5	-10	
43251	4	-52.15	
43251	4	-69.55	69.55
43251	4	-12.99	12.99
43251	4	-12.99	
43251	4	-89	
43251	4	-5.49	
43251	4	0	3478.69
43250	3	0	
43249	2	-69.55	
43249	2	-288.42	288.42
43248	1	0	
43247	7	-126.22	
43246	6	-40.94	
43246	6	-182.26	150
43246	6	0	175.37
43245	5	0	
43244	4	0	
43243	3	-121.26	
43242	2	0	500
43242	2	-50.6	50.6
43242	2	0	
43241	1	0	
43241	1	-1159.96	1159.96
43240	7	0	
43240	7	0	19.19
43239	6	-15.98	
43238	5	0	
43237	4	-32.9	
43237	4	0	3478.7
43236	3	-129.79	
43236	3	-27.26	
43235	2	-469.86	
43235	2	0	
43234	1	0	
43233	7	-105.23	
43232	6	-250.54	
43231	5	-75.66	
43231	5	0	7.82
43231	5	-22.88	22.88
43230	4	0	
43230	4	-12.1	12.1
43229	3	-11.15	
43229	3	-22.88	
43229	3	-39.45	
43229	3	-112.97	112.97
43228	2	0	
43228	2	-12.1	
43228	2	-28	
43227	1	-17.27	
43227	1	-11.59	
43227	1	-12.08	
43226	7	-44.03	
43225	6	-999.04	999.04
43225	6	-12.99	12.99
43225	6	-12.99	
43224	5	0	
43223	4	-175.37	175.37
43223	4	-11.97	
